unique_id,cutoff,metric,LightGBM,XGBoost,RandomForest,Ridge
IN_C03,2021-10-01,mae,865515.1460678206,474550.83487499994,1023779.6466193644,949552.6223792915
IN_C04,2021-10-01,mae,62156.780756966604,91791.23510742188,13154.114515563848,396299.9855818465
IN_C05,2021-10-01,mae,75623.16116753904,83139.60168750002,90339.35107496753,366942.4380501489
IN_C07,2021-10-01,mae,379871.2361422081,672761.37975,758341.9451073236,236368.7757212947
IN_C08,2021-10-01,mae,214405.70025740983,281487.34825,118134.84048715339,208458.57182802842
IN_C09,2021-10-01,mae,888774.9008425135,736603.121,414995.0905235524,578813.8246060126
IN_C10,2021-10-01,mae,262566.5514320993,865695.47925,913018.1405610669,260367.89290670527
IN_D01,2021-10-01,mae,203541.49421213352,174733.24175,197026.02768357308,277272.51020373
IN_D02,2021-10-01,mae,142707.81877880986,157041.3885625,138712.57721523335,348098.9007118931
IN_D04,2021-10-01,mae,293646.39542880084,247637.32768750002,239749.61304222717,306861.70697741635
IN_D05,2021-10-01,mae,50630.28872555185,94388.9634765625,16075.896804952583,375733.71132148284
IN_D06,2021-10-01,mae,198059.7570374221,222883.47146875,221987.39721905533,272160.1669498644
IN_D07,2021-10-01,mae,329244.48034698353,312138.81974999997,271025.7397367797,294225.3753689564
IN_D08,2021-10-01,mae,1009753.2700404527,1041533.734375,996168.8783896039,1033447.2372218021
IN_D10,2021-10-01,mae,284358.27139406925,397149.1690625,331459.0802894447,185260.12532351224
IN_D11,2021-10-01,mae,579944.2869411235,601279.160375,493239.1398617136,880291.9247208753
IN_G01,2021-10-01,mae,408838.4184575132,436242.108625,341912.4900262332,645301.8200277564
IN_G02,2021-10-01,mae,992196.7274807341,1073378.182,782334.5701594471,910808.1860989156
IN_G03,2021-10-01,mae,302903.7717359985,394979.975625,304959.8173039346,222391.91147449234
IN_G04,2021-10-01,mae,388800.23892215977,438624.846375,435052.264968184,740237.6916777634
IN_H01,2021-10-01,mae,21236.98981492328,37003.156718750004,86326.33718392676,406892.9126567154
IN_H02,2021-10-01,mae,352413.9275247166,327350.1435,383679.6993994478,426309.99428235216
IN_H03,2021-10-01,mae,142499.7520236564,493062.9965,170323.94716339099,353732.6093353597
IN_H04,2021-10-01,mae,29172.751769604154,136328.2875,6793.09945871949,389136.9485035267
IN_H05,2021-10-01,mae,52682.105410354365,101782.85357421875,2837.2508841254985,395465.25503274624
IN_J01,2021-10-01,mae,3144619.041704101,2853579.98375,2922312.735331636,2251368.5438618506
IN_J02,2021-10-01,mae,343576.30609076266,302805.9046875,208728.384048014,290276.90922786336
IN_J04,2021-10-01,mae,52334.34354414331,117825.94169921875,11421.794467853319,394347.174352365
IN_J05,2021-10-01,mae,450370.77819250396,389217.85937499994,254597.2393532269,511442.2835466494
IN_J06,2021-10-01,mae,78191.51105337095,48790.17829296875,66165.57669735473,332076.1867456099
IN_L01,2021-10-01,mae,100524.5130894459,129343.0220625,81620.93564778258,370443.7931202964
IN_L02,2021-10-01,mae,225060.24540629785,233463.73096875002,194725.35107940916,509753.7352261382
IN_L03,2021-10-01,mae,28615.181236643322,124296.28281640625,5831.913840202727,390779.65795674827
IN_L04,2021-10-01,mae,252512.34805331213,227297.77687499998,147720.77211574133,275633.58342596266
IN_M01,2021-10-01,mae,375852.4676966582,307456.05487500003,339461.14445011923,564614.786249964
IN_M02,2021-10-01,mae,1173111.1436070085,1039076.332375,1281587.033324415,1103866.122957315
IN_M03,2021-10-01,mae,228643.37835538632,262524.46025,867654.2115535022,581516.4469477813
IN_M04,2021-10-01,mae,10109.56083837994,14420.40234375,17202.33456513229,389056.17684251274
IN_M05,2021-10-01,mae,59940.69963377685,102305.04607421876,17413.626993119455,384057.911126346
IN_N01,2021-10-01,mae,39881.771331560536,31641.070171875,68346.6031486833,309775.4510816754
IN_N02,2021-10-01,mae,1969544.2961039143,2636698.4699999997,4374065.335776761,1315186.9601687947
IN_N03,2021-10-01,mae,1838039.150631886,392578.1199999999,1384162.907403176,1300805.5061132864
